"eid","subject_abbreviation","subject"
"2-s2.0-0033667762","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0033923694","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034494995","Cryos","Cryosphere"
"2-s2.0-0034488983","Cryos","Cryosphere"
"2-s2.0-0034493990","Cryos","Cryosphere"
"2-s2.0-0034485758","Cryos","Cryosphere"
"2-s2.0-0033663105","Cryos","Cryosphere"
"2-s2.0-0034353163","Geosp","Geosphere"
"2-s2.0-0034455346","Geosp","Geosphere"
"2-s2.0-0034455746","Geosp","Geosphere"
"2-s2.0-0033842632","Geosp","Geosphere"
"2-s2.0-0034456528","Geosp","Geosphere"
"2-s2.0-0034455543","Geosp","Geosphere"
"2-s2.0-0034494917","Geosp","Geosphere"
"2-s2.0-0034455333","Geosp","Geosphere"
"2-s2.0-0034488215","Geosp","Geosphere"
"2-s2.0-0034490684","Geosp","Geosphere"
"2-s2.0-0033670530","Geosp","Geosphere"
"2-s2.0-0033802610","Geosp","Geosphere"
"2-s2.0-0034214152","Geosp","Geosphere"
"2-s2.0-0034456934","Geosp","Geosphere"
"2-s2.0-0034529461","Human","Human"
"2-s2.0-0033762340","Human","Human"
"2-s2.0-0033984634","Human","Human"
"2-s2.0-33750220837","Human","Human"
"2-s2.0-0033668320","Human","Human"
"2-s2.0-0034014475","Human","Human"
"2-s2.0-0009394895","Human","Human"
"2-s2.0-0034402890","Space","Space"
"2-s2.0-39449085791","Space","Space"
"2-s2.0-39449083338","Space","Space"
"2-s2.0-0034404954","Space","Space"
"2-s2.0-0032986797","Atmos","Atmosphere"
"2-s2.0-0032674988","Atmos","Atmosphere"
"2-s2.0-0033589086","Atmos","Atmosphere"
"2-s2.0-0032717745","Atmos","Atmosphere"
