"eid","subject_abbreviation","subject"
"2-s2.0-31144450844","Geosp","Geosphere"
"2-s2.0-29744467939","Geosp","Geosphere"
"2-s2.0-33750443611","Geosp","Geosphere"
"2-s2.0-31144447202","Geosp","Geosphere"
"2-s2.0-33646483481","Geosp","Geosphere"
"2-s2.0-33744830044","Geosp","Geosphere"
"2-s2.0-31144438170","Geosp","Geosphere"
"2-s2.0-33646371977","Geosp","Geosphere"
"2-s2.0-33751063128","Geosp","Geosphere"
"2-s2.0-33745144296","Human","Human"
"2-s2.0-33845359107","Human","Human"
"2-s2.0-33750486192","Human","Human"
"2-s2.0-33745699361","Human","Human"
"2-s2.0-31844431644","Human","Human"
"2-s2.0-33646458849","Human","Human"
"2-s2.0-33746859799","Human","Human"
"2-s2.0-34548013947","Ocean","Oceans"
"2-s2.0-33748697401","Space","Space"
"2-s2.0-33747735554","Space","Space"
"2-s2.0-33845648271","Space","Space"
"2-s2.0-24644454784","Atmos","Atmosphere"
"2-s2.0-28444433038","Atmos","Atmosphere"
"2-s2.0-33646373433","Atmos","Atmosphere"
"2-s2.0-24944482317","Atmos","Atmosphere"
"2-s2.0-24644480916","Atmos","Atmosphere"
"2-s2.0-17044383326","Atmos","Atmosphere"
"2-s2.0-23844432646","Atmos","Atmosphere"
"2-s2.0-24944461802","Atmos","Atmosphere"
"2-s2.0-23944479122","Atmos","Atmosphere"
"2-s2.0-25844507245","Atmos","Atmosphere"
"2-s2.0-30844460576","Atmos","Atmosphere"
"2-s2.0-23044463330","Atmos","Atmosphere"
"2-s2.0-19544372292","Bio","Bioshpere"
"2-s2.0-24644463829","Bio-M","Biosphere - Marine"
"2-s2.0-20744431930","Bio-M","Biosphere - Marine"
"2-s2.0-30344463314","Bio-M","Biosphere - Marine"
"2-s2.0-29144468642","Bio-M","Biosphere - Marine"
"2-s2.0-30744478695","Bio-M","Biosphere - Marine"
"2-s2.0-27744513188","Bio-M","Biosphere - Marine"
"2-s2.0-24644465636","Bio-M","Biosphere - Marine"
"2-s2.0-28144436081","Bio-M","Biosphere - Marine"
"2-s2.0-33144455539","Bio-M","Biosphere - Marine"
"2-s2.0-24944444067","Bio-M","Biosphere - Marine"
"2-s2.0-23944498562","Bio-M","Biosphere - Marine"
"2-s2.0-33745319988","Bio-M","Biosphere - Marine"
"2-s2.0-15044347250","Bio-M","Biosphere - Marine"
"2-s2.0-33244490581","Bio-M","Biosphere - Marine"
"2-s2.0-31644438195","Bio-M","Biosphere - Marine"
"2-s2.0-27844435183","Bio-M","Biosphere - Marine"
"2-s2.0-22244448431","Bio-M","Biosphere - Marine"
"2-s2.0-23944514276","Bio-M","Biosphere - Marine"
"2-s2.0-20444382057","Bio-M","Biosphere - Marine"
"2-s2.0-19044392523","Bio-M","Biosphere - Marine"
"2-s2.0-21244450349","Bio-M","Biosphere - Marine"
"2-s2.0-25444432593","Bio-M","Biosphere - Marine"
"2-s2.0-12844270103","Bio-M","Biosphere - Marine"
"2-s2.0-28044470072","Bio-M","Biosphere - Marine"
"2-s2.0-26244467756","Bio-M","Biosphere - Marine"
"2-s2.0-28444442282","Bio-M","Biosphere - Marine"
"2-s2.0-17644426402","Bio-M","Biosphere - Marine"
"2-s2.0-16444368799","Bio-M","Biosphere - Marine"
"2-s2.0-27944483701","Bio-M","Biosphere - Marine"
"2-s2.0-33751060755","Bio-T","Biosphere - Terrestrial"
"2-s2.0-33644658335","Bio-T","Biosphere - Terrestrial"
"2-s2.0-23644441749","Bio-T","Biosphere - Terrestrial"
"2-s2.0-27744521465","Bio-T","Biosphere - Terrestrial"
"2-s2.0-33747892128","Bio-T","Biosphere - Terrestrial"
"2-s2.0-15944386709","Bio-T","Biosphere - Terrestrial"
"2-s2.0-15244359764","Bio-T","Biosphere - Terrestrial"
"2-s2.0-21744436090","Bio-T","Biosphere - Terrestrial"
"2-s2.0-12544252113","Bio-T","Biosphere - Terrestrial"
"2-s2.0-24644445207","Bio-T","Biosphere - Terrestrial"
"2-s2.0-19544367285","Bio-T","Biosphere - Terrestrial"
"2-s2.0-25844456660","Bio-T","Biosphere - Terrestrial"
"2-s2.0-33646338204","Cryos","Cryosphere"
"2-s2.0-84918854930","Cryos","Cryosphere"
"2-s2.0-21844466784","Cryos","Cryosphere"
"2-s2.0-33646365619","Cryos","Cryosphere"
"2-s2.0-20444489286","Cryos","Cryosphere"
"2-s2.0-33646357905","Cryos","Cryosphere"
"2-s2.0-33644679126","Cryos","Cryosphere"
"2-s2.0-30944465863","Cryos","Cryosphere"
"2-s2.0-28044432555","Cryos","Cryosphere"
"2-s2.0-23844452796","Geosp","Geosphere"
"2-s2.0-33144483486","Geosp","Geosphere"
"2-s2.0-14144250184","Geosp","Geosphere"
"2-s2.0-14144255877","Geosp","Geosphere"
"2-s2.0-30444441684","Geosp","Geosphere"
"2-s2.0-12744264795","Geosp","Geosphere"
"2-s2.0-12744279691","Geosp","Geosphere"
"2-s2.0-24944580022","Geosp","Geosphere"
"2-s2.0-27844543876","Geosp","Geosphere"
"2-s2.0-21444434609","Geosp","Geosphere"
"2-s2.0-27744550625","Geosp","Geosphere"
"2-s2.0-13344285316","Geosp","Geosphere"
"2-s2.0-15744392966","Geosp","Geosphere"
"2-s2.0-26844487034","Human","Human"
"2-s2.0-34147119637","Human","Human"
"2-s2.0-21444447455","Human","Human"
"2-s2.0-33846468713","Human","Human"
"2-s2.0-12344273626","Human","Human"
"2-s2.0-20144384722","Human","Human"
"2-s2.0-27944488374","Ocean","Oceans"
"2-s2.0-15744384196","Ocean","Oceans"
"2-s2.0-33646549913","Ocean","Oceans"
"2-s2.0-20044382276","Ocean","Oceans"
"2-s2.0-32444440844","Space","Space"
"2-s2.0-84898928095","Space","Space"
"2-s2.0-9144222639","Atmos","Atmosphere"
"2-s2.0-20844445811","Atmos","Atmosphere"
"2-s2.0-20044392484","Atmos","Atmosphere"
"2-s2.0-3042739514","Atmos","Atmosphere"
"2-s2.0-10244244979","Atmos","Atmosphere"
"2-s2.0-23744478292","Bio-M","Biosphere - Marine"
"2-s2.0-1942488216","Bio-M","Biosphere - Marine"
"2-s2.0-17744416671","Bio-M","Biosphere - Marine"
"2-s2.0-6944240544","Bio-M","Biosphere - Marine"
"2-s2.0-2442706408","Bio-M","Biosphere - Marine"
"2-s2.0-9244243141","Bio-M","Biosphere - Marine"
"2-s2.0-1042302611","Bio-M","Biosphere - Marine"
"2-s2.0-12144291568","Bio-M","Biosphere - Marine"
"2-s2.0-25144478361","Bio-M","Biosphere - Marine"
"2-s2.0-3843105591","Bio-M","Biosphere - Marine"
"2-s2.0-1542316934","Bio-M","Biosphere - Marine"
"2-s2.0-8744255769","Bio-M","Biosphere - Marine"
"2-s2.0-3042748556","Bio-M","Biosphere - Marine"
"2-s2.0-33745602461","Bio-M","Biosphere - Marine"
"2-s2.0-4143136398","Bio-M","Biosphere - Marine"
"2-s2.0-4944264651","Bio-M","Biosphere - Marine"
"2-s2.0-1342311191","Bio-M","Biosphere - Marine"
"2-s2.0-1442301005","Bio-T","Biosphere - Terrestrial"
"2-s2.0-23144443460","Bio-T","Biosphere - Terrestrial"
"2-s2.0-3042808438","Bio-T","Biosphere - Terrestrial"
"2-s2.0-1842664435","Bio-T","Biosphere - Terrestrial"
"2-s2.0-3242678193","Bio-T","Biosphere - Terrestrial"
"2-s2.0-3242729679","Cryos","Cryosphere"
"2-s2.0-7044286468","Cryos","Cryosphere"
"2-s2.0-23844530873","Cryos","Cryosphere"
"2-s2.0-24144471821","Cryos","Cryosphere"
"2-s2.0-23844554498","Cryos","Cryosphere"
"2-s2.0-3843061349","Cryos","Cryosphere"
"2-s2.0-2442597827","Cryos","Cryosphere"
"2-s2.0-9644275582","Geosp","Geosphere"
"2-s2.0-13244295443","Geosp","Geosphere"
"2-s2.0-1842716626","Geosp","Geosphere"
"2-s2.0-7044226529","Geosp","Geosphere"
"2-s2.0-6444232911","Geosp","Geosphere"
"2-s2.0-17744409817","Geosp","Geosphere"
"2-s2.0-84866499762","Geosp","Geosphere"
"2-s2.0-33646347051","Geosp","Geosphere"
"2-s2.0-7044248177","Geosp","Geosphere"
"2-s2.0-2442643735","Human","Human"
"2-s2.0-1642350275","Human","Human"
"2-s2.0-2442652485","Human","Human"
"2-s2.0-2442677679","Human","Human"
"2-s2.0-4644229485","Human","Human"
"2-s2.0-4043073826","Human","Human"
"2-s2.0-2542475162","Human","Human"
"2-s2.0-11144253437","Human","Human"
"2-s2.0-2342593226","Human","Human"
"2-s2.0-14644387468","Ocean","Oceans"
"2-s2.0-10644234759","Ocean","Oceans"
"2-s2.0-2342550546","Ocean","Oceans"
"2-s2.0-4644246728","Ocean","Oceans"
"2-s2.0-30844447258","Space","Space"
"2-s2.0-0242490354","Atmos","Atmosphere"
